"Date","M001","M002","M003","M004","M005","M006","M007","M008","M009","M010","M011","M012"
2015-03-04,3,0.4,0,15.6,0.3,0.5,0,1.6,1.4,2.2,0.1,0
2015-03-05,0,0,0,0.1,0,0.1,0,0,0,0,0,0
2015-03-06,0,0,0,0.1,0,0,0,0,0,0,0,0
2015-03-07,1.5,0.1,0.7,1.1,4.4,0.5,3.4,2.6,0.2,0.8,0.6,0.6
2015-03-08,0,0,0,0.4,0.2,0,0.1,0,0,0,0,0
2015-03-09,0.3,0.3,0,0.6,3.6,0.2,0.5,0.1,0,0,0,0.3
2015-03-10,1,0.3,0.9,5.3,NA,2.2,4.2,3.7,0.6,2.2,0,0.6
2015-03-11,0,0,0,0.1,1.5,0,0.3,0.1,0,0,0,0
2015-03-12,0,0,3.3,0.5,2.6,3.0000001,0.7,0.1,0,0,0,0.1
2015-03-13,0.3,0,0.2,1,3.4,0.1,1.5,0,0,0,0.8,0
2015-03-14,1.7,0.6,4.1000001,4.3,8.8,6.3,3.4,2.1,0.4,0.1,0.3,0.6
2015-03-15,0.4,0.1,0.1,0.6,2.9,1.1,2.5,1.4,0.3,0.8,0.3,0.7
2015-03-16,0.1,0,0,1.4,3.6,0,1,2.5,0,1.1,0,0
2015-03-17,4.5,8.9000001,9.4,12.7,5.1,NA,2.8,NA,10.7,4,7.1,8.7
2015-03-18,NA,18.5,10.5,16.7,NA,NA,NA,NA,20.3000001,NA,7.3,NA
2015-03-19,0.4,1.7,3.5,6.8,1.4,7.0000001,1.4,2.3,0.4,4.1,0.4,0.5
2015-03-20,17.9,NA,13.6000003,NA,4.4,14.3000001,NA,14.3,10.9,NA,NA,NA
2015-03-21,0.3,0.3,0.5,4.7,1.1,2.4000001,2.2,0.1,0,0,0.4,0
2015-03-22,9,7.0000001,1.1,3,2,6.2,1.8,2.1,9.6,5.9,3.7000001,16.3
2015-03-23,0,16.5000003,5.3000001,10,5.1,0,4.9,0.3,0,3.3,0.3,1.8
2015-03-24,13.7,43.0999993,0.1,NA,5.6,0,3.5,16.1,27.2000001,29.1,13.7000001,14.1
2015-03-25,14.2,23.2000002,NA,18.1,7.4,NA,2.8,18,NA,NA,16.3000002,21
2015-03-26,1.1,3.8,2.2,3,0.9,6.1,2.4,11.8,1.8,0.8,1.6,2.4
2015-03-27,0,0,0,0.1,0,0,0.3,0.2,0,0,0,0
2015-03-28,22.1,10.9000002,4.7,22.4,5,10.4000001,7.4,9.9,13.6000001,26.6,11.5000002,13.5
2015-03-29,8.4,3.7,NA,8,NA,3.2,4.1,NA,3.9,5.9,3.4,3.3
2015-03-30,0,21.499999,0.2,4.2,0,0.2,2.2000001,0.1,0.3,1.9,0.2,0.6
2015-03-31,4.9,11.2000001,4.1,1.1,0.7,6.0000001,1.2,2.8,2.5,4,7.4000002,6.1
2015-04-01,1.7,1.1,0.3,0.7,2,2.1,1.3,4.9,0.6,3.2,0.1,0.8
2015-04-02,1.4,2.6,1,4.6,14.4,7.8000001,5.9,3,1.5,1.8,3.2000001,3.6
2015-04-03,0,0,0,0,0.2,0,0.2,0,0,0,0,0
2015-04-04,0,0,0,0.1,0,0,0,0,0,0,0,0
2015-04-05,0.2,0.2,0.6,4.1,2.4,1.3,0.8,1,0.1,0.2,0.2,0.4
2015-04-06,0.2,0.1,0,0.2,2.4,0,0.9,0.7,0.1,0.3,0,0
